Time,Row,Column,SitesChecked,CohortsKilled,Severity,SitesEventchap,SitesEventoaks,SitesEventcss,BurnedSites,
8, 241, 304, 2852, 114075, 4.97124824684432, 2706, 82, 64, 2852, 
10, 198, 100, 959, 38444, 4.87278415015641, 818, 122, 19, 959, 
16, 109, 261, 2575, 83107, 4.98834951456311, 2165, 30, 380, 2575, 
21, 108, 77, 3985, 124741, 4.86348808030113, 3262, 544, 179, 3985, 
23, 75, 254, 292, 4175, 5, 136, 0, 156, 292, 
27, 307, 293, 241, 8938, 5, 241, 0, 0, 241, 
28, 264, 182, 186, 6954, 5, 186, 0, 0, 186, 
29, 151, 366, 1979, 68150, 4.83021728145528, 1415, 336, 228, 1979, 
41, 10, 14, 2199, 74781, 4.98226466575716, 2108, 39, 52, 2199, 
45, 99, 259, 149, 308, 5, 139, 0, 10, 149, 
49, 173, 55, 1209, 37217, 4.93796526054591, 1079, 75, 55, 1209, 
50, 21, 335, 217, 6846, 4.51152073732719, 73, 106, 38, 217, 
