Time,TotalSitesBurned,NumberFires,EcoCounts_chap,EcoCounts_oaks,EcoCounts_css,
1, 0, 0, 0, 0, 0, 
2, 0, 0, 0, 0, 0, 
3, 0, 0, 0, 0, 0, 
4, 0, 0, 0, 0, 0, 
5, 0, 0, 0, 0, 0, 
6, 0, 0, 0, 0, 0, 
7, 0, 0, 0, 0, 0, 
8, 5701, 1, 5228, 153, 320, 
9, 864, 1, 780, 29, 55, 
10, 0, 0, 0, 0, 0, 
11, 900, 1, 849, 19, 32, 
12, 0, 0, 0, 0, 0, 
13, 0, 0, 0, 0, 0, 
14, 0, 0, 0, 0, 0, 
15, 0, 0, 0, 0, 0, 
16, 0, 0, 0, 0, 0, 
17, 0, 0, 0, 0, 0, 
18, 0, 0, 0, 0, 0, 
19, 0, 0, 0, 0, 0, 
20, 1, 1, 0, 0, 1, 
21, 0, 0, 0, 0, 0, 
22, 0, 0, 0, 0, 0, 
23, 0, 0, 0, 0, 0, 
24, 0, 0, 0, 0, 0, 
25, 0, 0, 0, 0, 0, 
26, 2564, 1, 2427, 13, 124, 
27, 0, 0, 0, 0, 0, 
28, 0, 0, 0, 0, 0, 
29, 186, 1, 186, 0, 0, 
30, 0, 0, 0, 0, 0, 
31, 1, 1, 0, 0, 1, 
32, 0, 0, 0, 0, 0, 
33, 1915, 1, 1860, 13, 42, 
34, 0, 0, 0, 0, 0, 
35, 0, 0, 0, 0, 0, 
36, 0, 0, 0, 0, 0, 
37, 0, 0, 0, 0, 0, 
38, 0, 0, 0, 0, 0, 
39, 0, 0, 0, 0, 0, 
40, 0, 0, 0, 0, 0, 
41, 0, 0, 0, 0, 0, 
42, 0, 0, 0, 0, 0, 
43, 0, 0, 0, 0, 0, 
44, 0, 0, 0, 0, 0, 
45, 0, 0, 0, 0, 0, 
46, 0, 0, 0, 0, 0, 
47, 0, 0, 0, 0, 0, 
48, 0, 0, 0, 0, 0, 
49, 0, 0, 0, 0, 0, 
50, 0, 0, 0, 0, 0, 
