Time,TotalSitesBurned,NumberFires,EcoCounts_chap,EcoCounts_oaks,EcoCounts_css,
1, 0, 0, 0, 0, 0, 
2, 0, 0, 0, 0, 0, 
3, 0, 0, 0, 0, 0, 
4, 0, 0, 0, 0, 0, 
5, 0, 0, 0, 0, 0, 
6, 0, 0, 0, 0, 0, 
7, 0, 0, 0, 0, 0, 
8, 2852, 1, 2706, 82, 64, 
9, 0, 0, 0, 0, 0, 
10, 959, 1, 818, 122, 19, 
11, 0, 0, 0, 0, 0, 
12, 0, 0, 0, 0, 0, 
13, 0, 0, 0, 0, 0, 
14, 0, 0, 0, 0, 0, 
15, 0, 0, 0, 0, 0, 
16, 2575, 1, 2165, 30, 380, 
17, 0, 0, 0, 0, 0, 
18, 0, 0, 0, 0, 0, 
19, 0, 0, 0, 0, 0, 
20, 0, 0, 0, 0, 0, 
21, 3985, 1, 3262, 544, 179, 
22, 0, 0, 0, 0, 0, 
23, 292, 1, 136, 0, 156, 
24, 0, 0, 0, 0, 0, 
25, 0, 0, 0, 0, 0, 
26, 0, 0, 0, 0, 0, 
27, 241, 1, 241, 0, 0, 
28, 186, 1, 186, 0, 0, 
29, 1979, 1, 1415, 336, 228, 
30, 0, 0, 0, 0, 0, 
31, 0, 0, 0, 0, 0, 
32, 0, 0, 0, 0, 0, 
33, 0, 0, 0, 0, 0, 
34, 0, 0, 0, 0, 0, 
35, 0, 0, 0, 0, 0, 
36, 0, 0, 0, 0, 0, 
37, 0, 0, 0, 0, 0, 
38, 0, 0, 0, 0, 0, 
39, 0, 0, 0, 0, 0, 
40, 0, 0, 0, 0, 0, 
41, 2199, 1, 2108, 39, 52, 
42, 0, 0, 0, 0, 0, 
43, 0, 0, 0, 0, 0, 
44, 0, 0, 0, 0, 0, 
45, 149, 1, 139, 0, 10, 
46, 0, 0, 0, 0, 0, 
47, 0, 0, 0, 0, 0, 
48, 0, 0, 0, 0, 0, 
49, 1209, 1, 1079, 75, 55, 
50, 217, 1, 73, 106, 38, 
