Time,Row,Column,SitesChecked,CohortsKilled,Severity,SitesEventchap,SitesEventoaks,SitesEventcss,BurnedSites,
8, 241, 304, 5701, 224286, 4.9731626030521, 5228, 153, 320, 5701, 
9, 62, 152, 864, 32063, 4.96643518518519, 780, 29, 55, 864, 
11, 169, 318, 900, 31655, 4.97888888888889, 849, 19, 32, 900, 
20, 62, 242, 1, 6, 5, 0, 0, 1, 1, 
26, 282, 242, 2564, 93309, 4.99375975039002, 2427, 13, 124, 2564, 
29, 299, 140, 186, 6964, 5, 186, 0, 0, 186, 
31, 253, 50, 1, 14, 5, 0, 0, 1, 1, 
33, 171, 168, 1915, 55227, 4.99321148825065, 1860, 13, 42, 1915, 
