\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\r029_hab.tif 
Class ID / ID, 0, 1, background
, 0, 184588, 19550,    834
, 1, 19550, 278766,    592
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\r029_habrd40.tif 
Class ID / ID, 0, 1, background
, 0, 212392, 17305,    859
, 1, 17305, 255452,    567
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\r029_habrdurb.tif 
Class ID / ID, 0, 1, background
, 0, 294728, 12349,    935
, 1, 12349, 183028,    491
