Time,Row,Column,SitesChecked,CohortsKilled,Severity,SitesEventchap,SitesEventoaks,SitesEventcss,BurnedSites,
1, 5, 331, 430, 19011, 4.18372093023256, 55, 351, 24, 430, 
1, 35, 39, 641, 21934, 4.95319812792512, 556, 30, 55, 641, 
1, 42, 294, 418, 11899, 4.42344497607655, 137, 241, 40, 418, 
1, 146, 264, 1485, 60773, 4.97508417508418, 1296, 37, 152, 1485, 
1, 158, 175, 1, 43, 5, 1, 0, 0, 1, 
1, 199, 107, 2468, 101424, 4.89019448946515, 2164, 271, 33, 2468, 
1, 221, 250, 2349, 100939, 4.9369944657301, 2182, 148, 19, 2349, 
1, 276, 350, 117, 4968, 4.99145299145299, 113, 1, 3, 117, 
2, 23, 1, 338, 14143, 5, 338, 0, 0, 338, 
2, 48, 167, 983, 39329, 5, 960, 0, 23, 983, 
2, 122, 271, 646, 25381, 4.97832817337461, 551, 14, 81, 646, 
2, 163, 42, 2971, 110142, 4.85358465163245, 2457, 435, 79, 2971, 
2, 174, 226, 2157, 89517, 4.98191933240612, 2081, 39, 37, 2157, 
2, 218, 177, 1365, 52570, 4.95677655677656, 1255, 59, 51, 1365, 
2, 232, 149, 1805, 75225, 4.998891966759, 1788, 2, 15, 1805, 
2, 302, 360, 3244, 129092, 4.961467324291, 2790, 125, 329, 3244, 
3, 10, 132, 3070, 102583, 4.99804560260586, 2971, 6, 93, 3070, 
3, 52, 53, 1199, 46174, 4.7789824854045, 807, 257, 135, 1199, 
3, 68, 331, 956, 26038, 4.69351464435146, 494, 293, 169, 956, 
3, 83, 297, 1741, 43676, 4.76737507179782, 1071, 381, 289, 1741, 
3, 129, 288, 1669, 64766, 4.96225284601558, 1401, 39, 229, 1669, 
3, 158, 314, 1149, 44272, 4.97650130548303, 1067, 27, 55, 1149, 
3, 163, 163, 2349, 70528, 4.98510004257131, 2288, 35, 26, 2349, 
3, 234, 347, 672, 27276, 4.91815476190476, 575, 55, 42, 672, 
3, 253, 288, 486, 19036, 5, 431, 0, 55, 486, 
3, 262, 118, 1, 42, 5, 1, 0, 0, 1, 
4, 13, 64, 681, 26726, 4.99412628487518, 676, 0, 5, 681, 
4, 131, 86, 1, 4, 5, 0, 0, 1, 1, 
4, 197, 143, 1141, 32935, 4.96844872918493, 1102, 0, 39, 1141, 
4, 243, 193, 613, 25227, 4.99347471451876, 604, 0, 9, 613, 
5, 76, 12, 3631, 148175, 4.95097769209584, 3400, 156, 75, 3631, 
5, 215, 317, 1654, 65751, 4.96674727932285, 1509, 55, 90, 1654, 
5, 249, 104, 4528, 183831, 4.97946113074205, 4333, 41, 154, 4528, 
5, 272, 202, 597, 24506, 4.9179229480737, 535, 49, 13, 597, 
6, 47, 370, 1, 20, 5, 0, 0, 1, 1, 
6, 109, 73, 106, 4472, 4.4811320754717, 51, 55, 0, 106, 
