Time,Row,Column,SitesChecked,CohortsKilled,Severity,SitesEventchap,SitesEventoaks,SitesEventcss,BurnedSites,
13, 55, 233, 78, 1618, 4.15384615384615, 12, 66, 0, 78, 
13, 91, 234, 1310, 27646, 4.8030534351145, 1046, 16, 248, 1310, 
13, 98, 5, 2112, 5057, 2.51515151515152, 1873, 163, 76, 2112, 
13, 110, 190, 1937, 57043, 4.31440371708828, 1798, 112, 27, 1937, 
13, 245, 43, 804, 26135, 4.68905472636816, 599, 53, 152, 804, 
13, 294, 113, 30, 59, 2.06666666666667, 30, 0, 0, 30, 
14, 53, 347, 989, 34253, 4.46916076845298, 361, 515, 113, 989, 
14, 120, 40, 1, 1, 1, 1, 0, 0, 1, 
14, 131, 208, 405, 786, 2.98518518518519, 375, 3, 27, 405, 
14, 131, 333, 537, 15572, 4.40223463687151, 438, 55, 44, 537, 
14, 172, 10, 141, 4865, 4.45390070921986, 102, 33, 6, 141, 
14, 282, 299, 1029, 12995, 3.63265306122449, 867, 17, 145, 1029, 
15, 69, 218, 195, 5694, 4.31794871794872, 122, 49, 24, 195, 
15, 74, 284, 656, 7722, 4.27743902439024, 178, 180, 298, 656, 
15, 112, 59, 641, 3313, 3.10452418096724, 566, 75, 0, 641, 
15, 158, 217, 3017, 65863, 3.98110705999337, 2899, 74, 44, 3017, 
15, 196, 135, 217, 5457, 4.71428571428571, 217, 0, 0, 217, 
15, 248, 145, 1, 2, 3, 1, 0, 0, 1, 
16, 5, 161, 575, 1270, 3.02608695652174, 552, 3, 20, 575, 
16, 63, 129, 2127, 16960, 3.54019746121298, 1935, 36, 156, 2127, 
16, 176, 129, 1144, 16838, 3.92744755244755, 1105, 38, 1, 1144, 
17, 108, 327, 544, 10569, 4.39154411764706, 477, 3, 64, 544, 
17, 172, 335, 127, 214, 4, 111, 0, 16, 127, 
17, 255, 297, 311, 10733, 4.7588424437299, 298, 4, 9, 311, 
17, 269, 323, 1704, 37540, 4.12852112676056, 1538, 34, 132, 1704, 
18, 21, 103, 268, 404, 2.13059701492537, 268, 0, 0, 268, 
18, 30, 160, 1308, 8198, 3.65137614678899, 992, 34, 282, 1308, 
18, 52, 327, 319, 6357, 4.02194357366771, 154, 81, 84, 319, 
18, 71, 10, 111, 4266, 5, 111, 0, 0, 111, 
18, 112, 312, 921, 28361, 4.84690553745928, 726, 43, 152, 921, 
18, 130, 276, 607, 4414, 4.15485996705107, 496, 0, 111, 607, 
18, 243, 5, 285, 8851, 5, 194, 0, 91, 285, 
18, 288, 178, 1184, 37754, 4.82179054054054, 1115, 14, 55, 1184, 
18, 301, 219, 111, 3287, 4.51351351351351, 111, 0, 0, 111, 
19, 86, 298, 121, 958, 4.60330578512397, 27, 0, 94, 121, 
19, 115, 98, 1552, 8280, 3.23453608247423, 1244, 252, 56, 1552, 
19, 128, 3, 37, 63, 3.35135135135135, 27, 0, 10, 37, 
19, 206, 65, 769, 14504, 4.11183355006502, 664, 67, 38, 769, 
19, 288, 25, 2899, 67124, 4.47085201793722, 2898, 0, 1, 2899, 
20, 6, 247, 978, 17182, 4.43558282208589, 371, 450, 157, 978, 
20, 43, 174, 1, 3, 3, 1, 0, 0, 1, 
20, 109, 230, 167, 257, 2.81437125748503, 142, 0, 25, 167, 
20, 128, 169, 1245, 3206, 3.77911646586345, 1169, 55, 21, 1245, 
20, 151, 248, 1092, 2461, 3.46978021978022, 1007, 0, 85, 1092, 
20, 157, 286, 778, 16341, 4.08868894601542, 597, 48, 133, 778, 
20, 178, 354, 1, 2, 4, 1, 0, 0, 1, 
20, 199, 37, 508, 1210, 3.8996062992126, 416, 55, 37, 508, 
20, 215, 362, 472, 12966, 4.71186440677966, 454, 0, 18, 472, 
20, 258, 137, 125, 293, 4.008, 125, 0, 0, 125, 
21, 35, 229, 140, 2280, 4.82857142857143, 64, 21, 55, 140, 
21, 54, 84, 149, 309, 3.97986577181208, 130, 3, 16, 149, 
21, 62, 257, 367, 6065, 4.56675749318801, 158, 90, 119, 367, 
21, 143, 351, 256, 3320, 4.11328125, 172, 29, 55, 256, 
21, 250, 29, 537, 11159, 3.78026070763501, 405, 30, 102, 537, 
21, 286, 69, 586, 1328, 4.92491467576792, 573, 5, 8, 586, 
21, 296, 291, 182, 432, 4.55494505494505, 182, 0, 0, 182, 
22, 10, 49, 1, 3, 4, 1, 0, 0, 1, 
22, 112, 240, 152, 299, 3.45394736842105, 147, 0, 5, 152, 
22, 137, 66, 925, 4116, 4.37837837837838, 819, 55, 51, 925, 
23, 42, 277, 108, 1575, 4.84259259259259, 36, 17, 55, 108, 
23, 65, 43, 527, 17588, 4.72106261859583, 377, 102, 48, 527, 
23, 161, 53, 763, 1446, 4.25819134993447, 674, 79, 10, 763, 
23, 248, 207, 273, 431, 3.1978021978022, 253, 10, 10, 273, 
23, 262, 160, 1266, 11382, 4.07582938388626, 1070, 115, 81, 1266, 
24, 29, 314, 445, 4026, 3.67415730337079, 156, 206, 83, 445, 
24, 78, 326, 253, 2547, 4.75098814229249, 120, 0, 133, 253, 
24, 97, 32, 664, 1498, 4.79518072289157, 620, 10, 34, 664, 
24, 141, 204, 2404, 4468, 3.37354409317804, 2308, 3, 93, 2404, 
24, 168, 251, 936, 1918, 3.52777777777778, 833, 55, 48, 936, 
24, 191, 151, 241, 4651, 4.67634854771784, 234, 0, 7, 241, 
24, 277, 243, 4216, 60890, 4.8446394686907, 3930, 82, 204, 4216, 
25, 114, 66, 330, 647, 3.23636363636364, 272, 57, 1, 330, 
25, 114, 96, 61, 71, 2.08196721311475, 49, 12, 0, 61, 
25, 118, 192, 26, 45, 2.76923076923077, 26, 0, 0, 26, 
25, 188, 363, 4357, 41014, 4.72090888225843, 3751, 284, 322, 4357, 
25, 206, 41, 6, 8, 2, 6, 0, 0, 6, 
25, 211, 138, 4445, 29940, 4.28233970753656, 4382, 10, 53, 4445, 
25, 211, 291, 5258, 59801, 4.38303537466717, 4975, 200, 83, 5258, 
25, 232, 29, 5, 13, 2.6, 5, 0, 0, 5, 
25, 243, 84, 159, 446, 4.0188679245283, 133, 0, 26, 159, 
25, 257, 2, 4, 7, 2, 4, 0, 0, 4, 
25, 266, 112, 3815, 19495, 4.24639580602883, 3740, 20, 55, 3815, 
25, 302, 209, 7319, 56980, 3.79505396912146, 6700, 353, 266, 7319, 
26, 77, 92, 544, 1334, 4.40992647058824, 529, 0, 15, 544, 
26, 96, 47, 666, 2838, 4.61261261261261, 605, 46, 15, 666, 
27, 101, 142, 3192, 28373, 4.22869674185464, 2858, 202, 132, 3192, 
27, 145, 23, 474, 1118, 3.59493670886076, 393, 65, 16, 474, 
27, 213, 95, 592, 3813, 4.48986486486486, 447, 135, 10, 592, 
27, 269, 3, 1, 2, 2, 1, 0, 0, 1, 
28, 120, 215, 1, 2, 1, 1, 0, 0, 1, 
28, 185, 72, 1103, 7668, 4.25929283771532, 712, 271, 120, 1103, 
28, 276, 59, 182, 233, 2.1978021978022, 182, 0, 0, 182, 
28, 279, 55, 1, 2, 2, 1, 0, 0, 1, 
28, 305, 81, 145, 369, 4.32413793103448, 145, 0, 0, 145, 
29, 272, 284, 430, 794, 3.93953488372093, 375, 0, 55, 430, 
30, 27, 26, 1239, 3002, 4.62792574656981, 1150, 44, 45, 1239, 
30, 76, 66, 420, 12402, 4.68333333333333, 275, 88, 57, 420, 
30, 130, 269, 345, 587, 4.0463768115942, 303, 3, 39, 345, 
30, 146, 342, 170, 391, 3.67647058823529, 105, 55, 10, 170, 
30, 150, 302, 387, 917, 4.24031007751938, 332, 0, 55, 387, 
30, 294, 352, 132, 3653, 4.68181818181818, 125, 0, 7, 132, 
31, 53, 91, 3023, 7925, 4.29407872973867, 2731, 143, 149, 3023, 
31, 81, 186, 1119, 10018, 4.32082216264522, 988, 61, 70, 1119, 
31, 282, 42, 1332, 2222, 3.25600600600601, 1301, 0, 31, 1332, 
32, 36, 260, 480, 7081, 4.58333333333333, 162, 111, 207, 480, 
32, 83, 335, 1061, 17723, 4.41941564561734, 532, 207, 322, 1061, 
32, 224, 196, 20, 21, 2.6, 17, 0, 3, 20, 
32, 263, 305, 1295, 2359, 4.08571428571429, 1076, 18, 201, 1295, 
32, 275, 212, 113, 159, 2.15929203539823, 106, 0, 7, 113, 
33, 8, 145, 3564, 6040, 4.36026936026936, 3230, 63, 271, 3564, 
33, 12, 45, 2319, 19143, 4.60457093574817, 2083, 151, 85, 2319, 
33, 69, 305, 138, 1504, 4.44927536231884, 21, 55, 62, 138, 
33, 224, 304, 140, 342, 2.15, 135, 5, 0, 140, 
33, 284, 322, 161, 271, 4.08695652173913, 106, 0, 55, 161, 
34, 39, 241, 335, 5297, 4.49253731343284, 134, 89, 112, 335, 
34, 49, 158, 750, 1362, 4.37333333333333, 692, 7, 51, 750, 
34, 49, 290, 308, 3850, 4.53896103896104, 117, 124, 67, 308, 
34, 81, 22, 1816, 18014, 4.13821585903084, 1771, 5, 40, 1816, 
34, 123, 195, 2902, 4632, 3.71192281185389, 2794, 55, 53, 2902, 
34, 127, 132, 24, 25, 2.5, 24, 0, 0, 24, 
34, 149, 56, 1498, 2371, 3.81909212283044, 1359, 98, 41, 1498, 
34, 199, 286, 882, 1458, 2.80045351473923, 801, 59, 22, 882, 
35, 47, 216, 506, 6426, 4.62252964426877, 244, 103, 159, 506, 
35, 148, 287, 203, 491, 4.07881773399015, 111, 0, 92, 203, 
35, 171, 172, 5167, 7213, 3.2897232436617, 4874, 163, 130, 5167, 
35, 208, 77, 142, 221, 4.30281690140845, 111, 21, 10, 142, 
35, 238, 61, 767, 1562, 4.71968709256845, 610, 29, 128, 767, 
35, 269, 131, 424, 617, 3.29009433962264, 422, 0, 2, 424, 
36, 25, 200, 840, 1756, 4.49047619047619, 363, 170, 307, 840, 
36, 46, 371, 102, 762, 4.02941176470588, 28, 55, 19, 102, 
37, 63, 214, 943, 6664, 4.2661717921527, 463, 223, 257, 943, 
37, 104, 225, 291, 399, 3.80756013745704, 256, 0, 35, 291, 
